"자치구별(1)","자치구별(2)",성별(1),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)","자치구별(2)",성별(1),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)",성별(1),소계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
"합계","양천구",계,47106,128,1328,4800,5396,3588,3216,2829,3336,3464,4574,4647,3474,2712,2078,1536
"합계","양천구",남자,21436,58,480,2135,3008,2118,1817,1586,1875,1853,2136,1804,1150,682,448,286
"합계","양천구",여자,25670,70,848,2665,2388,1470,1399,1243,1461,1611,2438,2843,2324,2030,1630,1250
"합계","강서구",계,104509,225,4736,18744,18347,10012,7425,5604,5691,5255,6769,7269,5072,4040,3002,2318
"합계","강서구",남자,47105,97,1259,7341,9472,5563,4180,3147,3334,2753,3054,2799,1764,1202,704,436
"합계","강서구",여자,57404,128,3477,11403,8875,4449,3245,2457,2357,2502,3715,4470,3308,2838,2298,1882
"합계","구로구",계,61318,207,3046,9614,9076,5175,4082,3461,3969,3826,4514,4524,3386,2798,2181,1459
"합계","구로구",남자,29957,96,962,4363,5139,3166,2426,2141,2490,2286,2259,1862,1163,783,533,288
"합계","구로구",여자,31361,111,2084,5251,3937,2009,1656,1320,1479,1540,2255,2662,2223,2015,1648,1171
"합계","금천구",계,52033,116,2489,10154,8573,4271,3308,2604,3289,3398,4001,3329,2320,1836,1449,896
"합계","금천구",남자,27499,47,786,4793,5187,2782,2187,1663,2143,2120,2259,1559,857,554,350,212
"합계","금천구",여자,24534,69,1703,5361,3386,1489,1121,941,1146,1278,1742,1770,1463,1282,1099,684
"합계","영등포구",계,77895,184,4239,16830,15116,7597,5185,3891,4248,3779,4217,4009,2897,2357,1940,1406
"합계","영등포구",남자,38146,75,1113,7262,8342,4401,2996,2341,2661,2315,2317,1842,1056,688,437,300
"합계","영등포구",여자,39749,109,3126,9568,6774,3196,2189,1550,1587,1464,1900,2167,1841,1669,1503,1106
"합계","동작구",계,74443,963,9521,16777,11533,5867,4198,3362,3320,2957,3653,3576,2867,2521,1914,1414
"합계","동작구",남자,35650,430,3985,8403,6555,3410,2398,1925,1934,1595,1641,1290,823,582,399,280
"합계","동작구",여자,38793,533,5536,8374,4978,2457,1800,1437,1386,1362,2012,2286,2044,1939,1515,1134
"합계","관악구",계,150745,1100,16292,42852,28129,12194,8570,6256,6287,5396,6066,5691,4184,3489,2654,1585
"합계","관악구",남자,79518,509,6556,21762,16984,7630,5510,4112,4140,3292,3172,2465,1477,947,633,329
"합계","관악구",여자,71227,591,9736,21090,11145,4564,3060,2144,2147,2104,2894,3226,2707,2542,2021,1256
"합계","서초구",계,48756,261,2370,7255,8339,5612,4430,3345,3338,2481,2599,2732,2096,1723,1213,962
"합계","서초구",남자,21432,108,807,3104,4250,2889,2175,1665,1733,1206,1101,948,577,405,261,203
"합계","서초구",여자,27324,153,1563,4151,4089,2723,2255,1680,1605,1275,1498,1784,1519,1318,952,759
"합계","강남구",계,76809,342,3329,11875,13605,9086,7670,5360,4819,3497,3767,4047,3209,2727,1877,1599
"합계","강남구",남자,33217,168,1094,4863,6700,4418,3685,2694,2588,1726,1617,1360,910,698,406,290
"합계","강남구",여자,43592,174,2235,7012,6905,4668,3985,2666,2231,1771,2150,2687,2299,2029,1471,1309
"합계","송파구",계,87140,266,3122,13816,15541,9400,7443,5389,5403,4579,5576,5578,4026,3143,2214,1644
"합계","송파구",남자,38849,113,946,5505,7845,4867,3808,2915,2974,2378,2453,2084,1295,842,505,319
"합계","송파구",여자,48291,153,2176,8311,7696,4533,3635,2474,2429,2201,3123,3494,2731,2301,1709,1325
"합계","강동구",계,62943,140,2279,9368,8721,5015,4472,3705,4267,4208,5455,5497,3746,2764,1959,1347
"합계","강동구",남자,29123,70,705,3782,4560,2781,2476,2122,2512,2418,2596,2212,1289,818,487,295
"합계","강동구",여자,33820,70,1574,5586,4161,2234,1996,1583,1755,1790,2859,3285,2457,1946,1472,1052
