역이름,경도,위도
월드컵경기장(성산),191103.6432613668,452226.0865114867
증산(명지대앞),192019.26361915917,453817.1765603443
새절(신사),192371.89841078813,454623.9555166132
구산,192695.44185050385,456868.8620150812
독바위,194087.60342624385,457653.44521965215
불광,193765.5225547477,456812.0495417069
역촌,193178.2738303987,456273.9925124802
응암,192544.6856138473,455451.4429894671
마천,213510.63453705487,443959.0432146875
거여,212747.70324922816,443748.62884704606
개롱,211921.8266569284,444299.45575608354
오금,211312.66658829377,444740.1130355514
방이,211152.05138208572,445494.61062864575
둔촌동,212043.32683310265,447596.96113497
상일동,214704.36593495405,450811.46724674304
고덕,213620.87004876285,450620.0513045469
명일,212724.45087936,450215.29783859215
굽은다리(강동구민회관앞),212624.1785142731,449561.0908280433
길동,212373.67558038956,448708.7689316472
강동,211709.0982095092,448486.162982595
광나루(장신대),209152.6887123185,449537.229634195
아차산(어린이대공원후문),207931.6824834265,450244.9662432683
장한평,205709.6324563692,451325.1654715713
답십리,204656.2232884573,451913.522854775
마장,203796.55456016347,451841.2757956927
왕십리(성동구청),203274.254215396,451368.24338175234
행당,202604.434666806,450866.5617154496
신금호,201796.46911863284,450558.4666656011
동대문역사문화공원,200472.9329094737,451681.1530743998
을지로4가,199826.1351513078,451979.3669356366
종로3가,199143.54532698143,452555.2168827503
광화문(세종문화회관),197983.1742492995,452442.7644838521
서대문,197052.8048782873,451804.63768054417
충정로(경기대입구),196722.05306123677,451190.2197496429
애오개,196184.52709268752,450469.02639714506
마포,195221.53721824987,448897.71299777663
여의나루,194068.88556041615,447513.7726306092
신길,192471.37015744497,446463.4583771612
영등포시장,191614.4094133716,447024.32150963496
영등포구청,190720.97616070716,447195.1925654245
양평,189934.33892249828,447348.0497865185
오목교(목동운동장앞),188966.4287834919,447230.18796824967
목동,188060.61359162664,447405.5791519787
신정(은행정),187287.8621093191,447288.1896480696
까치산,186448.61756311107,448041.0146045513
화곡,185900.50198281748,449123.5057924919
우장산,185535.7596969356,449929.3530670438
발산,185656.9405306841,451020.159873815
마곡,184577.55205909585,451198.0112349825
송정,183387.19688054043,451311.4069720696
개화산,182877.13794719908,452557.1839076256
방화,183458.6489688637,453116.1664289372
도봉,204022.0838635417,464434.5707994006
방학,203906.09804750135,463095.9716798439
압구정로데오,203582.927843678,447543.83860907424
서울숲,203950.9358149498,449346.0022783684
구일,188574.31685417716,444151.92371429375
오류동,186325.32898218755,443907.8129513697
개봉,187591.24396247152,443913.3767258018
독산,190202.43334694815,440804.3698952036
금천구청,190619.58812304636,439584.4812146641
구로,189563.21220536245,444847.95801442064
수색,190779.31570551984,453481.7219063456
가좌,192533.73089572377,452109.1381649761
서강대,194319.1518106084,450264.2097718751
신촌,194928.1601665537,451135.2945205968
양원,209528.0570112472,456340.4798473204
망우,208116.29337386688,455556.9481978621
중랑,206722.0628046056,455041.488937376
대모산입구,206431.03847038225,443549.1229792129
개포동,205849.30799621769,443298.19642793183
구룡,205205.28147493556,443045.0517709535
도곡,204880.41781397496,443531.5324959485
한티,204675.5532916749,444087.79257997527
선릉,204315.501288808,445044.1958246017
창동,204218.6261738628,461487.2127194076
녹천,204524.715522042,460576.3693926888
월계,205192.90185942905,459290.7237015316
광운대,205458.75992538736,458227.6150321225
신이문,205945.14762217255,455810.8261267246
외대앞,205612.1413508498,455168.9668194605
회기,205085.72171590032,454434.65810479166
청량리(서울시립대입구),204266.3450719897,453468.48374057456
응봉,203052.00266934044,450048.0661413297
옥수,201650.18892806617,448993.284421398
한남,200810.45458451897,447770.5196382202
서빙고,198986.64405254764,446678.8688369144
이촌(국립중앙박물관),197649.1172149076,446993.5667960729
신도림,190375.48640319807,445484.9341960239
영등포,191833.65306054536,446228.8775820336
용산,196867.53846598172,447817.5740789298
남영,197463.5786828738,449057.3256511846
남태령,199038.70640214905,440494.5625442941
사당,198376.98301122725,441946.5903504811
총신대입구(이수),198407.0776040788,442979.64870599983
신용산,197162.11740283255,447742.1077159331
숙대입구(갈월),197534.92710970077,449450.0902032324
회현(남대문시장),198077.8949339433,450998.6736322545
명동,198791.7662382268,451273.2348042422
충무로,199476.94895686847,451297.3588047679
동대문,200820.42968222933,452376.5219363056
혜화,200162.8773112539,453642.417603046
한성대입구(삼선교),200549.4451065052,454321.9066895964
길음,202212.2640860808,455981.35585935786
미아사거리,202653.42971099503,457078.61249712965
미아(서울사이버대학),202293.6715611017,458563.32011531433
수유(강북구청),202271.16790083444,459826.5968895428
쌍문,203063.0651735836,461000.5686364363
상계,206491.6540771053,462362.2863748115
당고개,206975.5401978909,463405.32269608194
경찰병원,211013.10653998455,444058.3602917461
일원,207463.84761709112,442696.2734719308
대청,207033.2612664737,443787.2331432937
학여울,206242.58399913428,444136.1008080432
대치,205627.97675407163,443908.0281611653
매봉,204136.28949822643,443056.438687717
남부터미널(예술의전당),201431.805580086,442840.8859789362
교대(법원.검찰청),201219.14655815903,443730.0786353833
잠원,200991.964647137,445920.2677644798
압구정,202515.7677224289,447509.1520591839
금호,201402.58912327,449835.4149353906
동대입구,200494.9689757597,451058.17757673946
을지로3가,199341.6399231344,451903.919174452
안국,198714.10475871703,452992.2338052163
경복궁(정부서울청사),197661.7453660713,452913.1068057933
독립문,196267.5666918932,452781.429393291
무악재,195609.28821338844,453639.47107937786
홍제,195030.74597677003,454390.8579446427
녹번,194326.8503397233,455707.7487524169
구파발,192834.8228496365,459686.3194706321
